,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,75338911.0,Make SSL and authKey param authentication optional,242.0,15.0,7.0,4.0,2.0,2.0,0.0,2016-06-27 16:15:56,2016-07-21 16:47:32,,19916976.0,0.0,
1,75910919.0,[PIO-1] Make SSL and authKey param authentication optional,244.0,15.0,7.0,4.0,5.0,1.0,2.0,2016-07-01 00:21:33,2016-07-21 16:34:16,Chan Lee,2267611.0,0.0,
2,76522172.0,[PIO-4] Fix travis CI url in README.md,245.0,1.0,1.0,1.0,2.0,2.0,1.0,2016-07-07 00:14:06,2016-07-18 18:07:20,Jean-Marc Soumet,6806760.0,1.0,2016-07-18 18:07:20
3,76585251.0,Added OpenJDK8 to install.sh script #223,247.0,6.0,3.0,1.0,1.0,0.0,0.0,2016-07-07 12:18:30,2016-07-21 16:55:48,Jaak Tamre,1769654.0,1.0,2016-07-21 16:55:48
4,76683687.0,[PIO-2] Rename the packages,249.0,1844.0,1844.0,593.0,5.0,3.0,0.0,2016-07-07 23:51:51,2016-07-18 20:17:45,yinxusen,2637239.0,1.0,2016-07-18 20:17:45
5,77541069.0,[PIO-8] Remove upgrade check,250.0,1.0,61.0,4.0,1.0,1.0,0.0,2016-07-14 23:11:03,2016-07-18 20:30:17,Marcin Ziemiński,3036187.0,1.0,2016-07-18 20:30:17
6,78298511.0,Updated the Readme.md file and fix the issue #254,255.0,1.0,1.0,1.0,1.0,1.0,0.0,2016-07-21 11:17:18,2019-03-07 14:01:25,Shivansh Srivastava,12807854.0,0.0,
7,78562800.0,"[PIO-12] Add Scala style rules, FileTabChecker, NonASCIICharacterChecker and SpaceAfterCommentStartChecker",256.0,43.0,34.0,3.0,1.0,2.0,0.0,2016-07-23 04:20:43,2016-07-25 20:12:25,Hyukjin Kwon,6477701.0,1.0,2016-07-25 20:12:25
8,78588290.0,[MINOR] Replace the deprecated usage of Spark API,257.0,8.0,6.0,3.0,2.0,5.0,0.0,2016-07-24 02:58:40,2016-07-26 18:57:42,Hyukjin Kwon,6477701.0,1.0,2016-07-26 18:57:42
9,78789601.0,[PIO-5] Replace all *.prediction.io urls,258.0,49.0,61.0,19.0,1.0,1.0,0.0,2016-07-26 04:21:02,2016-07-26 19:01:39,yinxusen,2637239.0,1.0,2016-07-26 19:01:39
